Dish Name,State/Region,Category,Diet,Description,Ingredients (Key),Typical Serving Size,KCAL,PROTEIN (g),CARBS (g),FAT (g),Free Sugar (g),Fibre (g),Sodium (mg),Calcium (mg),Iron (mg),Vitamin C (mg),Folate (µg),Ingredients (Full List),Ingredients with Ayurvedic Notes
Baked brinjal in tomato sauce,Continental/Global Cuisine,Sauce/Condiment,Veg,"A vegetarian sauce/condiment typically made with tomato, brinjal.","Tomato, Brinjal",,38.63,1.58,4.13,1.62,2.2,2.34,79.66,26.24,0.32,68.38,103.99,"Tomato, Brinjal, Butter, Refined Flour (Maida), Salt, Pepper, Oil/Butter","Tomato (Amla, sour, stimulates digestion, use sparingly for Pitta); Brinjal (Laghu, light, supports digestion); Butter (Snigdha, unctuous, balances Vata); Refined Flour (Maida) (Guru, heavier to digest, best in moderation); Salt (Ushna, enhances taste, balances electrolytes); Pepper (Ushna, heating, clears Kapha); Oil/Butter (Snigdha, unctuous, balances Vata)"
Baked custard,Continental/Global Cuisine,Dessert (Souffle/Custard/Pudding),Veg,A vegetarian dessert.,Milk,,106.53,5.41,9.45,5.3,9.42,0.0,47.13,95.32,0.54,3.02,35.21,"Milk, Sugar, Egg, Cornflour","Milk (Guru, Shita, cooling and building, balances Pitta); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Egg (Guru, Ushna, builds strength, use moderately for Pitta); Cornflour (Balances doshas when eaten fresh and in moderation)"
Baked eggs in tomato sauce,Continental/Global Cuisine,Sauce/Condiment,Egg (Ovo-Veg),"A vegetarian sauce/condiment typically made with tomato, egg.","Tomato, Egg",,80.05,4.92,3.78,5.22,2.03,0.01,188.21,71.94,1.31,245.7,317.88,"Tomato, Egg, Butter, Refined Flour (Maida), Salt, Pepper, Oil/Butter","Tomato (Amla, sour, stimulates digestion, use sparingly for Pitta); Egg (Guru, Ushna, builds strength, use moderately for Pitta); Butter (Snigdha, unctuous, balances Vata); Refined Flour (Maida) (Guru, heavier to digest, best in moderation); Salt (Ushna, enhances taste, balances electrolytes); Pepper (Ushna, heating, clears Kapha); Oil/Butter (Snigdha, unctuous, balances Vata)"
Baked fish with cheese sauce,Continental/Global Cuisine,Sauce/Condiment,Non-Veg,"A non-vegetarian sauce/condiment typically made with cheese, fish.","Cheese, Fish",,113.96,8.64,4.06,7.02,3.22,0.08,209.48,115.64,0.26,9.97,29.36,"Cheese, Fish, Butter, Refined Flour (Maida), Salt, Pepper, Oil/Butter","Cheese (Balances doshas when eaten fresh and in moderation); Fish (Guru, Ushna, nourishing, best fresh); Butter (Snigdha, unctuous, balances Vata); Refined Flour (Maida) (Guru, heavier to digest, best in moderation); Salt (Ushna, enhances taste, balances electrolytes); Pepper (Ushna, heating, clears Kapha); Oil/Butter (Snigdha, unctuous, balances Vata)"
Baked potato soup,Continental/Global Cuisine,Soup,Veg,A vegetarian soup typically made with potato.,Potato,,147.05,5.73,5.85,11.21,3.44,0.3,268.69,106.56,0.27,18.93,42.67,"Potato, Stock/Water, Onion, Salt, Pepper, Butter/Oil","Potato (Guru, Vata aggravating in excess); Stock/Water (Guru, Ushna, deeply nourishing); Onion (Ushna, stimulates Agni, balances Kapha and Vata); Salt (Ushna, enhances taste, balances electrolytes); Pepper (Ushna, heating, clears Kapha); Butter/Oil (Snigdha, unctuous, balances Vata)"
Banana cake (Kele ka cake),Continental/Global Cuisine,Bakery (Cake/Pastry),Veg,A vegetarian bakery typically made with banana.,Banana,,389.51,5.77,40.0,23.31,23.04,1.14,117.81,23.55,1.14,0.98,11.33,"Banana, Refined Flour (Maida), Sugar, Butter, Egg, Baking Powder, Milk","Banana (Guru, Shita, grounding); Refined Flour (Maida) (Guru, heavier to digest, best in moderation); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Butter (Snigdha, unctuous, balances Vata); Egg (Guru, Ushna, builds strength, use moderately for Pitta); Baking Powder (Neutral, leavening agent); Milk (Guru, Shita, cooling and building, balances Pitta)"
Banana milkshake (Kele milkshake),Continental/Global Cuisine,Beverage (Milkshake/Smoothie),Veg,"A vegetarian beverage typically made with banana, milk.","Banana, Milk",,65.31,1.84,9.15,2.37,7.96,0.26,13.61,62.64,0.13,6.84,19.83,"Banana, Milk, Sugar, Ice, Water","Banana (Guru, Shita, grounding); Milk (Guru, Shita, cooling and building, balances Pitta); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Ice (Balances doshas when eaten fresh and in moderation); Water (Balances doshas when eaten fresh and in moderation)"
Banana milkshake with ice cream (Kele ka milkshake ice cream ke saath),Continental/Global Cuisine,Beverage (Milkshake/Smoothie),Veg,"A vegetarian beverage typically made with banana, milk, cream.","Banana, Milk, Cream",,76.45,2.01,11.15,2.77,9.94,0.27,16.63,68.3,0.14,6.99,20.73,"Banana, Milk, Cream, Sugar, Ice, Water","Banana (Guru, Shita, grounding); Milk (Guru, Shita, cooling and building, balances Pitta); Cream (Guru, Snigdha, heavy and nourishing); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Ice (Balances doshas when eaten fresh and in moderation); Water (Balances doshas when eaten fresh and in moderation)"
Barbeque sauce,Continental/Global Cuisine,Sauce/Condiment,Veg,A vegetarian sauce/condiment.,Tomato,,121.93,0.96,20.46,4.51,18.88,0.69,504.95,28.61,1.15,,,"Tomato, Butter, Refined Flour (Maida), Salt, Pepper, Oil/Butter","Tomato (Amla, sour, stimulates digestion, use sparingly for Pitta); Butter (Snigdha, unctuous, balances Vata); Refined Flour (Maida) (Guru, heavier to digest, best in moderation); Salt (Ushna, enhances taste, balances electrolytes); Pepper (Ushna, heating, clears Kapha); Oil/Butter (Snigdha, unctuous, balances Vata)"
Beans and macaroni,Continental/Global Cuisine,Continental/Fusion Main,Veg,"A vegetarian continental/fusion main typically made with beans, pasta.","Beans, Pasta",,136.08,4.58,14.24,7.01,1.68,2.05,182.79,86.86,0.75,16.54,82.63,"Beans, Pasta, Onion, Garlic, Olive Oil, Salt, Pepper, Mixed Herbs","Beans (Balances doshas when eaten fresh and in moderation); Pasta (Balances doshas when eaten fresh and in moderation); Onion (Ushna, stimulates Agni, balances Kapha and Vata); Garlic (Ushna, heating, balances Vata and Kapha); Olive Oil (Snigdha, unctuous, balances Vata); Salt (Ushna, enhances taste, balances electrolytes); Pepper (Ushna, heating, clears Kapha); Mixed Herbs (Balances doshas when eaten fresh and in moderation)"
Beetroot and egg salad (Chukandar aur ande ka salad),Continental/Global Cuisine,Salad,Egg (Ovo-Veg),A egg-based salad typically made with egg.,Egg,,84.92,3.36,3.4,6.45,1.97,0.55,110.12,18.13,0.55,6.0,41.14,"Egg, Salt, Pepper, Lemon Juice, Oil/Dressing","Egg (Guru, Ushna, builds strength, use moderately for Pitta); Salt (Ushna, enhances taste, balances electrolytes); Pepper (Ushna, heating, clears Kapha); Lemon Juice (Amla, alkalising, stimulates Agni); Oil/Dressing (Snigdha, unctuous, balances Vata)"
Bottle gourd soup (Ghiya/Lauki soup),Continental/Global Cuisine,Soup,Veg,A vegetarian soup typically made with bottle gourd.,Bottle Gourd,,23.05,0.45,1.16,1.79,0.39,0.96,53.81,15.14,0.26,6.0,52.73,"Bottle Gourd, Stock/Water, Onion, Salt, Pepper, Butter/Oil","Bottle Gourd (Laghu, light, supports digestion); Stock/Water (Guru, Ushna, deeply nourishing); Onion (Ushna, stimulates Agni, balances Kapha and Vata); Salt (Ushna, enhances taste, balances electrolytes); Pepper (Ushna, heating, clears Kapha); Butter/Oil (Snigdha, unctuous, balances Vata)"
Bread sauce,Continental/Global Cuisine,Sauce/Condiment,Veg,A vegetarian sauce/condiment typically made with bread.,Bread,,111.04,3.46,8.69,7.05,4.63,0.56,88.84,110.72,0.31,,,"Bread, Butter, Refined Flour (Maida), Salt, Pepper, Oil/Butter","Bread (Balances doshas when eaten fresh and in moderation); Butter (Snigdha, unctuous, balances Vata); Refined Flour (Maida) (Guru, heavier to digest, best in moderation); Salt (Ushna, enhances taste, balances electrolytes); Pepper (Ushna, heating, clears Kapha); Oil/Butter (Snigdha, unctuous, balances Vata)"
Brown sauce,Continental/Global Cuisine,Sauce/Condiment,Veg,A vegetarian sauce/condiment.,Onion,,109.18,11.92,5.38,23.67,0.13,1.69,14174.59,40.44,2.46,,,"Onion, Butter, Refined Flour (Maida), Salt, Pepper, Oil/Butter","Onion (Ushna, stimulates Agni, balances Kapha and Vata); Butter (Snigdha, unctuous, balances Vata); Refined Flour (Maida) (Guru, heavier to digest, best in moderation); Salt (Ushna, enhances taste, balances electrolytes); Pepper (Ushna, heating, clears Kapha); Oil/Butter (Snigdha, unctuous, balances Vata)"
Buckwheat pancake (Khura),Continental/Global Cuisine,Breakfast/Tiffin (Pancake),Veg,A vegetarian breakfast/tiffin.,Buckwheat,,263.3,2.91,27.28,16.43,0.64,0.56,69.97,11.32,0.69,0.66,3.38,"Buckwheat, Refined Flour (Maida), Sugar, Butter, Egg, Baking Powder, Milk","Buckwheat (Balances doshas when eaten fresh and in moderation); Refined Flour (Maida) (Guru, heavier to digest, best in moderation); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Butter (Snigdha, unctuous, balances Vata); Egg (Guru, Ushna, builds strength, use moderately for Pitta); Baking Powder (Neutral, leavening agent); Milk (Guru, Shita, cooling and building, balances Pitta)"
Butterfly biscuit,Continental/Global Cuisine,Bakery (Cookie/Biscuit),Veg,A vegetarian bakery.,Butter,,341.45,9.98,25.33,22.11,2.44,1.02,572.05,202.49,1.09,0.03,2.63,"Butter, Refined Flour (Maida), Sugar, Baking Powder, Egg","Butter (Snigdha, unctuous, balances Vata); Refined Flour (Maida) (Guru, heavier to digest, best in moderation); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Baking Powder (Neutral, leavening agent); Egg (Guru, Ushna, builds strength, use moderately for Pitta)"
Buttermilk biscuit,Continental/Global Cuisine,Bakery (Cookie/Biscuit),Veg,A vegetarian bakery.,Buttermilk,,322.54,5.76,34.93,17.5,3.44,1.18,323.74,67.16,0.77,0.0,11.23,"Buttermilk, Refined Flour (Maida), Butter, Sugar, Baking Powder, Egg","Buttermilk (Amla, Guru, sour and cooling in moderation); Refined Flour (Maida) (Guru, heavier to digest, best in moderation); Butter (Snigdha, unctuous, balances Vata); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Baking Powder (Neutral, leavening agent); Egg (Guru, Ushna, builds strength, use moderately for Pitta)"
Cajun chicken,Continental/Global Cuisine,Curry/Gravy,Non-Veg,A non-vegetarian curry/gravy typically made with chicken.,Chicken,,184.94,12.69,1.94,13.99,1.1,0.89,1740.13,156.98,0.53,45.44,44.55,"Chicken, Onion, Tomato, Ginger-Garlic Paste, Oil/Ghee, Turmeric, Red Chilli Powder, Garam Masala, Salt","Chicken (Guru, Ushna, builds strength); Onion (Ushna, stimulates Agni, balances Kapha and Vata); Tomato (Amla, sour, stimulates digestion, use sparingly for Pitta); Ginger-Garlic Paste (Ushna, kindles Agni, aids digestion); Oil/Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Turmeric (Ushna, anti-inflammatory, purifies blood); Red Chilli Powder (Ushna, heating, use sparingly for Pitta); Garam Masala (Ushna, kindles Agni, aids digestion); Salt (Ushna, enhances taste, balances electrolytes)"
Caramel custard (baked),Continental/Global Cuisine,Dessert (Souffle/Custard/Pudding),Veg,A vegetarian dessert.,Milk,,122.7,5.11,14.95,5.01,14.92,0.0,44.78,90.59,0.53,3.02,35.21,"Milk, Sugar, Egg, Cornflour","Milk (Guru, Shita, cooling and building, balances Pitta); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Egg (Guru, Ushna, builds strength, use moderately for Pitta); Cornflour (Balances doshas when eaten fresh and in moderation)"
Caramel custard (steamed),Continental/Global Cuisine,Dessert (Souffle/Custard/Pudding),Veg,A vegetarian dessert.,Milk,,121.58,4.97,15.02,4.87,14.98,0.0,43.57,88.12,0.51,3.02,35.21,"Milk, Sugar, Egg, Cornflour","Milk (Guru, Shita, cooling and building, balances Pitta); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Egg (Guru, Ushna, builds strength, use moderately for Pitta); Cornflour (Balances doshas when eaten fresh and in moderation)"
Caramel ice cream,Continental/Global Cuisine,Dessert (Ice Cream),Veg,A vegetarian dessert typically made with cream.,Cream,,173.52,4.31,14.81,11.15,14.52,0.08,33.47,87.32,0.35,3.27,25.96,"Cream, Milk, Fresh Cream, Sugar","Cream (Guru, Snigdha, heavy and nourishing); Milk (Guru, Shita, cooling and building, balances Pitta); Fresh Cream (Guru, Snigdha, heavy and nourishing); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha)"
Cardamom cookies (Elaichi cookies),Continental/Global Cuisine,Bakery (Cookie/Biscuit),Veg,A vegetarian bakery.,Cardamom,,400.49,5.1,53.99,19.12,38.99,2.79,98.45,25.21,1.41,0.0,34.95,"Cardamom, Refined Flour (Maida), Butter, Sugar, Baking Powder, Egg","Cardamom (Ushna, aromatic, soothes digestion); Refined Flour (Maida) (Guru, heavier to digest, best in moderation); Butter (Snigdha, unctuous, balances Vata); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Baking Powder (Neutral, leavening agent); Egg (Guru, Ushna, builds strength, use moderately for Pitta)"
Carrot apple sandwich (Gajar aur seb ka sandwich),Continental/Global Cuisine,Sandwich/Burger,Veg,"A vegetarian sandwich/burger typically made with carrot, apple.","Carrot, Apple",,214.11,5.3,29.04,9.12,5.3,3.66,302.88,118.05,1.8,2.7,21.7,"Carrot, Apple, Bread, Butter, Salt, Pepper","Carrot (Laghu, sweet, balances Pitta); Apple (Laghu, Shita, cooling and light); Bread (Balances doshas when eaten fresh and in moderation); Butter (Snigdha, unctuous, balances Vata); Salt (Ushna, enhances taste, balances electrolytes); Pepper (Ushna, heating, clears Kapha)"
Carrot cake (Gajar ka cake),Continental/Global Cuisine,Bakery (Cake/Pastry),Veg,A vegetarian bakery typically made with carrot.,Carrot,,255.59,5.6,35.98,10.27,23.96,2.93,158.74,156.1,1.03,3.12,17.06,"Carrot, Refined Flour (Maida), Sugar, Butter, Egg, Baking Powder, Milk","Carrot (Laghu, sweet, balances Pitta); Refined Flour (Maida) (Guru, heavier to digest, best in moderation); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Butter (Snigdha, unctuous, balances Vata); Egg (Guru, Ushna, builds strength, use moderately for Pitta); Baking Powder (Neutral, leavening agent); Milk (Guru, Shita, cooling and building, balances Pitta)"
Cauliflower au gratin,Continental/Global Cuisine,Curry/Gravy,Veg,A vegetarian curry/gravy typically made with cauliflower.,Cauliflower,,145.9,4.45,9.13,10.2,3.01,1.44,164.96,119.69,0.57,50.15,69.55,"Cauliflower, Onion, Tomato, Ginger-Garlic Paste, Oil/Ghee, Turmeric, Red Chilli Powder, Garam Masala, Salt","Cauliflower (Balances doshas when eaten fresh and in moderation); Onion (Ushna, stimulates Agni, balances Kapha and Vata); Tomato (Amla, sour, stimulates digestion, use sparingly for Pitta); Ginger-Garlic Paste (Ushna, kindles Agni, aids digestion); Oil/Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Turmeric (Ushna, anti-inflammatory, purifies blood); Red Chilli Powder (Ushna, heating, use sparingly for Pitta); Garam Masala (Ushna, kindles Agni, aids digestion); Salt (Ushna, enhances taste, balances electrolytes)"
Checker board sandwich,Continental/Global Cuisine,Sandwich/Burger,Veg,A vegetarian sandwich/burger.,Bread,,348.37,7.37,25.94,24.65,2.9,2.22,358.25,188.02,1.11,0.05,8.52,"Bread, Butter, Salt, Pepper","Bread (Balances doshas when eaten fresh and in moderation); Butter (Snigdha, unctuous, balances Vata); Salt (Ushna, enhances taste, balances electrolytes); Pepper (Ushna, heating, clears Kapha)"
Cheese and chilli sandwich,Continental/Global Cuisine,Sandwich/Burger,Veg,"A vegetarian sandwich/burger typically made with cheese, chili.","Cheese, Chili",,218.11,6.8,27.4,9.78,2.38,2.08,437.5,113.79,0.99,12.3,16.14,"Cheese, Chili, Bread, Butter, Salt, Pepper","Cheese (Balances doshas when eaten fresh and in moderation); Chili (Balances doshas when eaten fresh and in moderation); Bread (Balances doshas when eaten fresh and in moderation); Butter (Snigdha, unctuous, balances Vata); Salt (Ushna, enhances taste, balances electrolytes); Pepper (Ushna, heating, clears Kapha)"
Cheese and mushroom omelette/omlet,Continental/Global Cuisine,Breakfast (Omelette/Egg),Egg (Ovo-Veg),"A egg-based breakfast typically made with mushroom, cheese.","Mushroom, Cheese",,205.63,9.69,1.68,17.82,1.07,0.93,400.29,148.77,1.01,0.48,32.02,"Mushroom, Cheese, Egg, Onion, Green Chilli, Salt, Oil","Mushroom (Balances doshas when eaten fresh and in moderation); Cheese (Balances doshas when eaten fresh and in moderation); Egg (Guru, Ushna, builds strength, use moderately for Pitta); Onion (Ushna, stimulates Agni, balances Kapha and Vata); Green Chilli (Ushna, use sparingly for Pitta); Salt (Ushna, enhances taste, balances electrolytes); Oil (Snigdha, unctuous, balances Vata)"
Cheese and mushroom tart,Continental/Global Cuisine,Bakery (Cake/Pastry),Veg,"A vegetarian bakery typically made with mushroom, cheese.","Mushroom, Cheese",,246.1,5.51,21.43,15.28,3.16,1.18,212.42,100.97,0.59,6.53,7.96,"Mushroom, Cheese, Refined Flour (Maida), Sugar, Butter, Egg, Baking Powder, Milk","Mushroom (Balances doshas when eaten fresh and in moderation); Cheese (Balances doshas when eaten fresh and in moderation); Refined Flour (Maida) (Guru, heavier to digest, best in moderation); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Butter (Snigdha, unctuous, balances Vata); Egg (Guru, Ushna, builds strength, use moderately for Pitta); Baking Powder (Neutral, leavening agent); Milk (Guru, Shita, cooling and building, balances Pitta)"
Cheese and pineapple sandwich (Cheese aur ananas ka sandwich),Continental/Global Cuisine,Sandwich/Burger,Veg,"A vegetarian sandwich/burger typically made with pineapple, cheese.","Pineapple, Cheese",,257.71,8.2,29.1,12.8,4.1,2.33,571.96,199.73,1.04,3.64,12.08,"Pineapple, Cheese, Bread, Butter, Salt, Pepper","Pineapple (Laghu, Shita, cooling and light); Cheese (Balances doshas when eaten fresh and in moderation); Bread (Balances doshas when eaten fresh and in moderation); Butter (Snigdha, unctuous, balances Vata); Salt (Ushna, enhances taste, balances electrolytes); Pepper (Ushna, heating, clears Kapha)"
Cheese and tomato pancake,Continental/Global Cuisine,Breakfast/Tiffin (Pancake),Veg,"A vegetarian breakfast/tiffin typically made with tomato, cheese.","Tomato, Cheese",,147.39,5.15,10.66,9.28,3.48,1.06,281.62,127.51,0.64,9.72,16.52,"Tomato, Cheese, Refined Flour (Maida), Sugar, Butter, Egg, Baking Powder, Milk","Tomato (Amla, sour, stimulates digestion, use sparingly for Pitta); Cheese (Balances doshas when eaten fresh and in moderation); Refined Flour (Maida) (Guru, heavier to digest, best in moderation); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Butter (Snigdha, unctuous, balances Vata); Egg (Guru, Ushna, builds strength, use moderately for Pitta); Baking Powder (Neutral, leavening agent); Milk (Guru, Shita, cooling and building, balances Pitta)"
Cheese and tomato sandwich (Cheese aur tamatar ke sandwich),Continental/Global Cuisine,Sandwich/Burger,Veg,"A vegetarian sandwich/burger typically made with tomato, green peas, cheese.","Tomato, Green Peas, Cheese",,243.32,7.92,26.92,12.27,2.85,1.97,549.71,191.2,1.0,3.16,12.18,"Tomato, Green Peas, Cheese, Bread, Butter, Salt, Pepper","Tomato (Amla, sour, stimulates digestion, use sparingly for Pitta); Green Peas (Balances doshas when eaten fresh and in moderation); Cheese (Balances doshas when eaten fresh and in moderation); Bread (Balances doshas when eaten fresh and in moderation); Butter (Snigdha, unctuous, balances Vata); Salt (Ushna, enhances taste, balances electrolytes); Pepper (Ushna, heating, clears Kapha)"
Cheese and tomato sandwich (toasted) (Cheese aur tamatar ke sandwich (toasted)),Continental/Global Cuisine,Sandwich/Burger,Veg,"A vegetarian sandwich/burger typically made with tomato, green peas, cheese.","Tomato, Green Peas, Cheese",,224.58,6.82,21.42,12.95,2.67,1.78,457.94,169.22,0.82,6.32,14.48,"Tomato, Green Peas, Cheese, Bread, Butter, Salt, Pepper","Tomato (Amla, sour, stimulates digestion, use sparingly for Pitta); Green Peas (Balances doshas when eaten fresh and in moderation); Cheese (Balances doshas when eaten fresh and in moderation); Bread (Balances doshas when eaten fresh and in moderation); Butter (Snigdha, unctuous, balances Vata); Salt (Ushna, enhances taste, balances electrolytes); Pepper (Ushna, heating, clears Kapha)"
Cheese open sandwich,Continental/Global Cuisine,Sandwich/Burger,Veg,A vegetarian sandwich/burger typically made with cheese.,Cheese,,274.07,9.84,28.42,14.24,3.24,1.74,504.41,256.25,1.22,0.6,12.93,"Cheese, Bread, Butter, Salt, Pepper","Cheese (Balances doshas when eaten fresh and in moderation); Bread (Balances doshas when eaten fresh and in moderation); Butter (Snigdha, unctuous, balances Vata); Salt (Ushna, enhances taste, balances electrolytes); Pepper (Ushna, heating, clears Kapha)"
Cheese pizza,Continental/Global Cuisine,Continental/Fusion Main,Veg,A vegetarian continental/fusion main typically made with cheese.,Cheese,,249.5,5.79,30.62,12.43,3.42,1.95,397.73,96.51,1.09,6.72,15.85,"Cheese, Onion, Garlic, Olive Oil, Salt, Pepper, Mixed Herbs","Cheese (Balances doshas when eaten fresh and in moderation); Onion (Ushna, stimulates Agni, balances Kapha and Vata); Garlic (Ushna, heating, balances Vata and Kapha); Olive Oil (Snigdha, unctuous, balances Vata); Salt (Ushna, enhances taste, balances electrolytes); Pepper (Ushna, heating, clears Kapha); Mixed Herbs (Balances doshas when eaten fresh and in moderation)"
